Steps	loss/critic_loss	loss/actor_loss	train/stochastic_reward	train/success	sample_time	eval/episode_reward	eval/episode_reward_std	eval/ep_success_mean	eval/ep_success_std	eval/episode_length	eval/episode_length_std	update/env_step
0	10.784008979797363	-1.907348590179936e-08	1.0	0.0	0.8691611289978027	25.0	1.4142135623730951	0.0	0.0	25.0	1.4142135623730951	0.0
1	15.456446647644043	3.7193299107229905e-08	1.0	0.0	1.1462154388427734	21.666666666666668	0.4714045207910317	0.0	0.0	21.666666666666668	0.4714045207910317	1.0
2	13.610468864440918	-3.2424928519958485e-08	1.0	0.0	0.865614652633667	22.333333333333332	0.9428090415820634	0.0	0.0	22.333333333333332	0.9428090415820634	2.0
3	12.086870193481445	-9.53674295089968e-09	1.0	0.0	1.2443017959594727	19.333333333333332	0.4714045207910317	0.0	0.0	19.333333333333332	0.4714045207910317	3.0
4	13.180536270141602	1.8437702919982257e-08	1.0	0.0	0.8125178813934326	20.0	1.4142135623730951	0.0	0.0	20.0	1.4142135623730951	4.0
5	12.558782577514648	8.424122732719752e-09	1.0	0.0	1.0296332836151123	20.0	2.160246899469287	0.0	0.0	20.0	2.160246899469287	5.0
6	14.899489402770996	1.5894572769070692e-08	1.0	0.0	0.8284392356872559	16.666666666666668	3.0912061651652345	0.0	0.0	16.666666666666668	3.0912061651652345	6.0
7	12.149544715881348	-5.08626296635839e-09	1.0	0.0	0.916731595993042	16.333333333333332	4.0276819911981905	0.0	0.0	16.333333333333332	4.0276819911981905	7.0
8	12.7821683883667	-1.2954076034077389e-08	1.0	0.0	1.0298967361450195	15.666666666666666	4.4969125210773475	0.0	0.0	15.666666666666666	4.4969125210773475	8.0
9	13.582422256469727	4.132588493632738e-09	1.0	0.0	0.8487212657928467	15.666666666666666	5.185449728701348	0.0	0.0	15.666666666666666	5.185449728701348	9.0
10	11.898860931396484	-2.0662943356342112e-08	1.0	0.0	1.026785135269165	12.666666666666666	3.0912061651652345	0.0	0.0	12.666666666666666	3.0912061651652345	10.0
11	13.535683631896973	-1.4185905783392627e-08	1.0	0.0	0.8430068492889404	12.333333333333334	3.2998316455372216	0.0	0.0	12.333333333333334	3.2998316455372216	11.0
12	15.355295181274414	-6.675720420901143e-09	1.0	0.0	1.048696756362915	12.0	2.8284271247461903	0.0	0.0	12.0	2.8284271247461903	12.0
13	11.774080276489258	1.907348723406699e-09	1.0	0.0	1.0179154872894287	11.666666666666666	3.0912061651652345	0.0	0.0	11.666666666666666	3.0912061651652345	13.0
14	12.301583290100098	1.525878978725359e-08	1.0	0.0	0.827796220779419	11.666666666666666	3.0912061651652345	0.0	0.0	11.666666666666666	3.0912061651652345	14.0
15	12.030596733093262	-1.2397766369076635e-08	1.0	0.0	0.9050192832946777	11.333333333333334	3.2998316455372216	0.0	0.0	11.333333333333334	3.2998316455372216	15.0
16	11.934720993041992	9.536743617033494e-10	1.0	0.0	1.016589879989624	11.666666666666666	3.0912061651652345	0.0	0.0	11.666666666666666	3.0912061651652345	16.0
